ACCESS_label,HHL_label,FINCP,NPF,GRPIP
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,7
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,7
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,7
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,7
"Yes, by paying a cell phone company or Internet service provider",Other language,54300,5,38
"Yes, by paying a cell phone company or Internet service provider",Other language,54300,5,38
"Yes, by paying a cell phone company or Internet service provider",Other language,54300,5,38
"Yes, by paying a cell phone company or Internet service provider",Other language,54300,5,38
"Yes, by paying a cell phone company or Internet service provider",Other language,54300,5,38
"Yes, by paying a cell phone company or Internet service provider",English only,115500,4,20
"Yes, by paying a cell phone company or Internet service provider",English only,115500,4,20
"Yes, by paying a cell phone company or Internet service provider",English only,115500,4,20
"Yes, by paying a cell phone company or Internet service provider",English only,115500,4,20
"No access to the Internet at this house, apartment, or mobile home",Other Indo-European languages,-60000,1,32
"Yes, by paying a cell phone company or Internet service provider",Spanish,10200,5,79
"Yes, by paying a cell phone company or Internet service provider",Spanish,10200,5,79
"Yes, by paying a cell phone company or Internet service provider",Spanish,10200,5,79
"Yes, by paying a cell phone company or Internet service provider",Spanish,10200,5,79
"Yes, by paying a cell phone company or Internet service provider",Spanish,10200,5,79
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,18
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,18
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,60
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,45000,2,39
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,45000,2,39
"No access to the Internet at this house, apartment, or mobile home",English only,14800,4,101
"No access to the Internet at this house, apartment, or mobile home",English only,14800,4,101
"No access to the Internet at this house, apartment, or mobile home",English only,14800,4,101
"No access to the Internet at this house, apartment, or mobile home",English only,14800,4,101
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,25
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,35
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,40
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,91000,5,15
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,91000,5,15
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,91000,5,15
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,91000,5,15
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,91000,5,15
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,18
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,18
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,31
"Yes, by paying a cell phone company or Internet service provider",English only,24000,3,37
"Yes, by paying a cell phone company or Internet service provider",English only,24000,3,37
"Yes, by paying a cell phone company or Internet service provider",English only,24000,3,37
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,40000,4,51
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,40000,4,51
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,40000,4,51
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,40000,4,51
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,25
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,25
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,55
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,39
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,15
"Yes, by paying a cell phone company or Internet service provider",Spanish,114930,7,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,114930,7,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,114930,7,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,114930,7,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,114930,7,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,114930,7,19
"Yes, by paying a cell phone company or Internet service provider",Spanish,114930,7,19
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,23
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,14
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,14
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,36200,4,46
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,36200,4,46
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,36200,4,46
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,36200,4,46
"Yes, by paying a cell phone company or Internet service provider",English only,70370,2,9
"Yes, by paying a cell phone company or Internet service provider",English only,70370,2,9
"Yes, by paying a cell phone company or Internet service provider",Spanish,113000,4,23
"Yes, by paying a cell phone company or Internet service provider",Spanish,113000,4,23
"Yes, by paying a cell phone company or Internet service provider",Spanish,113000,4,23
"Yes, by paying a cell phone company or Internet service provider",Spanish,113000,4,23
"No access to the Internet at this house, apartment, or mobile home",Spanish,-60000,1,29
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,17
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,31
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,31
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,5
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",Other language,-60000,1,28
"Yes, by paying a cell phone company or Internet service provider",Other language,-60000,1,28
"Yes, by paying a cell phone company or Internet service provider",English only,26300,2,34
"Yes, by paying a cell phone company or Internet service provider",English only,26300,2,34
"Yes, by paying a cell phone company or Internet service provider",English only,11230,2,101
"Yes, by paying a cell phone company or Internet service provider",English only,11230,2,101
"Yes, by paying a cell phone company or Internet service provider",English only,37000,2,44
"Yes, by paying a cell phone company or Internet service provider",English only,37000,2,44
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,-60000,1,6
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,-60000,1,6
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,-60000,1,6
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,-60000,1,6
"Yes, by paying a cell phone company or Internet service provider",Spanish,66500,4,28
"Yes, by paying a cell phone company or Internet service provider",Spanish,66500,4,28
"Yes, by paying a cell phone company or Internet service provider",Spanish,66500,4,28
"Yes, by paying a cell phone company or Internet service provider",Spanish,66500,4,28
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,19
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,19
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,59
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,24
"Yes, by paying a cell phone company or Internet service provider",English only,121600,4,13
"Yes, by paying a cell phone company or Internet service provider",English only,121600,4,13
"Yes, by paying a cell phone company or Internet service provider",English only,121600,4,13
"Yes, by paying a cell phone company or Internet service provider",English only,121600,4,13
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,55
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,55
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,55
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,29
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,30
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,30
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,16
"No access to the Internet at this house, apartment, or mobile home",English only,90000,2,8
"No access to the Internet at this house, apartment, or mobile home",English only,90000,2,8
"Yes, by paying a cell phone company or Internet service provider",English only,80800,2,28
"Yes, by paying a cell phone company or Internet service provider",English only,80800,2,28
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,80
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,80
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,5
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,31
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,28
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,28
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,27
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,140000,5,17
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,140000,5,17
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,140000,5,17
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,140000,5,17
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,140000,5,17
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,85
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,36
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,30
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,30
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,51380,3,34
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,51380,3,34
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,51380,3,34
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,38000,2,38
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,38000,2,38
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",English only,43700,2,40
"Yes, by paying a cell phone company or Internet service provider",English only,43700,2,40
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,37
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,110000,3,18
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,110000,3,18
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,110000,3,18
"Yes, by paying a cell phone company or Internet service provider",English only,18800,2,64
"Yes, by paying a cell phone company or Internet service provider",English only,18800,2,64
"Yes, by paying a cell phone company or Internet service provider",English only,24000,4,101
"Yes, by paying a cell phone company or Internet service provider",English only,24000,4,101
"Yes, by paying a cell phone company or Internet service provider",English only,24000,4,101
"Yes, by paying a cell phone company or Internet service provider",English only,24000,4,101
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,26
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,26
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,14
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,44
"Yes, by paying a cell phone company or Internet service provider",English only,79000,3,12
"Yes, by paying a cell phone company or Internet service provider",English only,79000,3,12
"Yes, by paying a cell phone company or Internet service provider",English only,79000,3,12
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,26
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,58
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,-60000,1,21
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,90000,2,24
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,90000,2,24
"Yes, by paying a cell phone company or Internet service provider",Spanish,41800,3,35
"Yes, by paying a cell phone company or Internet service provider",Spanish,41800,3,35
"Yes, by paying a cell phone company or Internet service provider",Spanish,41800,3,35
"Yes, by paying a cell phone company or Internet service provider",Other language,60000,8,11
"Yes, by paying a cell phone company or Internet service provider",Other language,60000,8,11
"Yes, by paying a cell phone company or Internet service provider",Other language,60000,8,11
"Yes, by paying a cell phone company or Internet service provider",Other language,60000,8,11
"Yes, by paying a cell phone company or Internet service provider",Other language,60000,8,11
"Yes, by paying a cell phone company or Internet service provider",Other language,60000,8,11
"Yes, by paying a cell phone company or Internet service provider",Other language,60000,8,11
"Yes, by paying a cell phone company or Internet service provider",Other language,60000,8,11
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,39
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,44
"Yes, without paying a cell phone company or Internet service provider",English only,-60000,1,30
"Yes, by paying a cell phone company or Internet service provider",English only,5090,2,101
"Yes, by paying a cell phone company or Internet service provider",English only,5090,2,101
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,15
"Yes, by paying a cell phone company or Internet service provider",Spanish,67500,5,21
"Yes, by paying a cell phone company or Internet service provider",Spanish,67500,5,21
"Yes, by paying a cell phone company or Internet service provider",Spanish,67500,5,21
"Yes, by paying a cell phone company or Internet service provider",Spanish,67500,5,21
"Yes, by paying a cell phone company or Internet service provider",Spanish,67500,5,21
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,16
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,16
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,16
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,30
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,68600,3,29
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,68600,3,29
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,68600,3,29
"Yes, by paying a cell phone company or Internet service provider",English only,16400,3,87
"Yes, by paying a cell phone company or Internet service provider",English only,16400,3,87
"Yes, by paying a cell phone company or Internet service provider",English only,16400,3,87
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,52
"No access to the Internet at this house, apartment, or mobile home",Other Indo-European languages,-60000,1,42
"Yes, by paying a cell phone company or Internet service provider",English only,100000,2,12
"Yes, by paying a cell phone company or Internet service provider",English only,100000,2,12
"Yes, by paying a cell phone company or Internet service provider",English only,52500,2,22
"Yes, by paying a cell phone company or Internet service provider",English only,52500,2,22
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,12
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,12
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,21
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,21
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,3
"Yes, without paying a cell phone company or Internet service provider",English only,-60000,1,60
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,31
"Yes, by paying a cell phone company or Internet service provider",English only,235000,2,11
"Yes, by paying a cell phone company or Internet service provider",English only,235000,2,11
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,23
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,30000,3,55
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,30000,3,55
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,30000,3,55
"Yes, by paying a cell phone company or Internet service provider",English only,214000,2,13
"Yes, by paying a cell phone company or Internet service provider",English only,214000,2,13
"Yes, by paying a cell phone company or Internet service provider",Spanish,68600,4,21
"Yes, by paying a cell phone company or Internet service provider",Spanish,68600,4,21
"Yes, by paying a cell phone company or Internet service provider",Spanish,68600,4,21
"Yes, by paying a cell phone company or Internet service provider",Spanish,68600,4,21
"Yes, by paying a cell phone company or Internet service provider",English only,100000,6,17
"Yes, by paying a cell phone company or Internet service provider",English only,100000,6,17
"Yes, by paying a cell phone company or Internet service provider",English only,100000,6,17
"Yes, by paying a cell phone company or Internet service provider",English only,100000,6,17
"Yes, by paying a cell phone company or Internet service provider",English only,100000,6,17
"Yes, by paying a cell phone company or Internet service provider",English only,100000,6,17
"Yes, by paying a cell phone company or Internet service provider",Spanish,-60000,1,101
"No access to the Internet at this house, apartment, or mobile home",Spanish,-60000,1,48
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,22
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,22
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,31
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,24
"No access to the Internet at this house, apartment, or mobile home",English only,60000,3,21
"No access to the Internet at this house, apartment, or mobile home",English only,60000,3,21
"No access to the Internet at this house, apartment, or mobile home",English only,60000,3,21
"No access to the Internet at this house, apartment, or mobile home",English only,60000,3,21
"Yes, by paying a cell phone company or Internet service provider",English only,9400,3,64
"Yes, by paying a cell phone company or Internet service provider",English only,9400,3,64
"Yes, by paying a cell phone company or Internet service provider",English only,9400,3,64
"Yes, by paying a cell phone company or Internet service provider",English only,9400,3,64
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,38
"Yes, without paying a cell phone company or Internet service provider",English only,161000,2,16
"Yes, without paying a cell phone company or Internet service provider",English only,161000,2,16
"Yes, by paying a cell phone company or Internet service provider",English only,43500,2,34
"Yes, by paying a cell phone company or Internet service provider",English only,43500,2,34
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,56000,5,31
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,56000,5,31
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,56000,5,31
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,56000,5,31
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,56000,5,31
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,30
"Yes, by paying a cell phone company or Internet service provider",Spanish,88000,3,22
"Yes, by paying a cell phone company or Internet service provider",Spanish,88000,3,22
"Yes, by paying a cell phone company or Internet service provider",Spanish,88000,3,22
"Yes, by paying a cell phone company or Internet service provider",English only,70000,4,40
"Yes, by paying a cell phone company or Internet service provider",English only,70000,4,40
"Yes, by paying a cell phone company or Internet service provider",English only,70000,4,40
"Yes, by paying a cell phone company or Internet service provider",English only,70000,4,40
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,45000,2,38
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,45000,2,38
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,52
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,65000,4,32
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,65000,4,32
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,65000,4,32
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,65000,4,32
"No access to the Internet at this house, apartment, or mobile home",Spanish,-60000,1,38
"Yes, by paying a cell phone company or Internet service provider",English only,108500,3,39
"Yes, by paying a cell phone company or Internet service provider",English only,108500,3,39
"Yes, by paying a cell phone company or Internet service provider",English only,108500,3,39
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,88100,3,33
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,88100,3,33
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,88100,3,33
"Yes, by paying a cell phone company or Internet service provider",English only,47500,3,17
"Yes, by paying a cell phone company or Internet service provider",English only,47500,3,17
"Yes, by paying a cell phone company or Internet service provider",English only,47500,3,17
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,9
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,46
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,46
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,46
"Yes, by paying a cell phone company or Internet service provider",Spanish,-60000,1,43
"Yes, by paying a cell phone company or Internet service provider",Spanish,-60000,1,43
"Yes, by paying a cell phone company or Internet service provider",Spanish,-60000,1,43
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,93400,4,26
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,93400,4,26
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,93400,4,26
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,93400,4,26
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,15
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,15
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,15
"Yes, by paying a cell phone company or Internet service provider",English only,30000,2,60
"Yes, by paying a cell phone company or Internet service provider",English only,30000,2,60
"Yes, by paying a cell phone company or Internet service provider",Spanish,52000,3,29
"Yes, by paying a cell phone company or Internet service provider",Spanish,52000,3,29
"Yes, by paying a cell phone company or Internet service provider",Spanish,52000,3,29
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,27
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,7
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,7
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,40
"No access to the Internet at this house, apartment, or mobile home",Other language,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,23
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,23
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,23
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,23
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,66
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,29
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,29
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,66
"Yes, by paying a cell phone company or Internet service provider",English only,65800,2,21
"Yes, by paying a cell phone company or Internet service provider",English only,65800,2,21
"Yes, by paying a cell phone company or Internet service provider",English only,65800,2,21
"Yes, by paying a cell phone company or Internet service provider",English only,65800,2,21
"Yes, by paying a cell phone company or Internet service provider",English only,65800,2,21
"Yes, by paying a cell phone company or Internet service provider",English only,65800,2,21
"Yes, by paying a cell phone company or Internet service provider",Spanish,2750,2,16
"Yes, by paying a cell phone company or Internet service provider",Spanish,2750,2,16
"Yes, by paying a cell phone company or Internet service provider",Spanish,2750,2,16
"Yes, by paying a cell phone company or Internet service provider",Spanish,2750,2,16
"Yes, by paying a cell phone company or Internet service provider",Spanish,2750,2,16
"Yes, by paying a cell phone company or Internet service provider",Other language,-60000,1,22
"Yes, by paying a cell phone company or Internet service provider",Other language,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",English only,63000,2,28
"Yes, by paying a cell phone company or Internet service provider",English only,63000,2,28
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,21
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,21
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,21
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,24
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,24
"Yes, by paying a cell phone company or Internet service provider",Other Indo-European languages,-60000,1,20
"No access to the Internet at this house, apartment, or mobile home",English only,47000,4,36
"No access to the Internet at this house, apartment, or mobile home",English only,47000,4,36
"No access to the Internet at this house, apartment, or mobile home",English only,47000,4,36
"No access to the Internet at this house, apartment, or mobile home",English only,47000,4,36
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,16
"Yes, by paying a cell phone company or Internet service provider",Spanish,59700,5,46
"Yes, by paying a cell phone company or Internet service provider",Spanish,59700,5,46
"Yes, by paying a cell phone company or Internet service provider",Spanish,59700,5,46
"Yes, by paying a cell phone company or Internet service provider",Spanish,59700,5,46
"Yes, by paying a cell phone company or Internet service provider",Spanish,59700,5,46
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,41
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,45
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,6
"No access to the Internet at this house, apartment, or mobile home",English only,-60000,1,14
"Yes, by paying a cell phone company or Internet service provider",English only,-60000,1,101
"Yes, by paying a cell phone company or Internet service provider",Asian and Pacific Island languages,53600,5,28
